"TIME","FONTE","LOAD"
0.080474705,16.9925,19.6233
0.080475135,16.9925,19.623
0.080476927,16.9925,19.6213
0.08047716,16.9925,19.6211
0.080477205,16.9925,19.621
0.080477635,16.9925,19.6206
0.080479427,16.9926,19.619
0.0804808975,16.9926,19.6176
0.0804809425,16.9926,19.6175
0.0804812545,16.9926,19.6172
0.0804821505,16.9927,19.6164
0.0804833975,16.9927,19.6152
0.0804834425,16.9927,19.6152
0.0804837545,16.9927,19.6149
0.0804846505,16.9927,19.6141
0.0805745075,16.9926,19.5314
0.0805745775,16.9926,19.5314
0.0805747875,16.9926,19.5312
0.0805749575,16.9926,19.531
0.0805770075,16.9926,19.5291
0.0805770775,16.9926,19.5291
0.0805772875,16.9926,19.5289
0.0805774575,16.9926,19.5287
0.08058075,16.9927,19.5257
0.080580785,16.9927,19.5256
0.080581015,16.9927,19.5254
0.080581155,16.9927,19.5253
0.080583237,16.9928,19.5233
0.080583285,16.9928,19.5233
0.080583515,16.9928,19.5231
0.080583655,16.9928,19.523
0.080585737,16.9928,19.5211
0.080600073,16.9928,19.5079
0.08067472,16.9926,19.4396
0.080674785,16.9926,19.4396
0.080675036,16.9926,19.4393
0.08067526,16.9926,19.4391
0.08067722,16.9926,19.4373
0.080677285,16.9926,19.4373
0.080677536,16.9926,19.437
0.08067776,16.9926,19.4368
0.0806808875,16.9927,19.4339
0.0806810225,16.9927,19.4338
0.0806812675,16.9927,19.4336
0.0806813795,16.9927,19.4335
0.0806833875,16.9928,19.4316
0.0806835225,16.9928,19.4315
0.0806837675,16.9928,19.4313
0.0806838795,16.9928,19.4312
0.0807165195,16.9927,19.4014
0.0807746325,16.9926,19.3485
0.0807748675,16.9926,19.3483
0.0807749125,16.9926,19.3482
0.0807755785,16.9926,19.3476
0.0807771325,16.9926,19.3462
0.0807773675,16.9926,19.346
0.0807774125,16.9926,19.346
0.0807780785,16.9926,19.3453
0.080780875,16.9927,19.3428
0.080781095,16.9927,19.3426
0.08078114,16.9927,19.3425
0.08078157,16.9927,19.3421
0.080783362,16.9928,19.3405
0.080783595,16.9928,19.3403
0.08078364,16.9928,19.3402
0.08078407,16.9928,19.3398
0.080785862,16.9928,19.3382
0.080874705,16.9926,19.2577
0.080874845,16.9926,19.2575
0.080875015,16.9926,19.2574
0.080875161,16.9926,19.2572
0.080877205,16.9926,19.2554
0.080877345,16.9926,19.2553
0.080877515,16.9926,19.2551
0.080877661,16.9926,19.255
0.0808809425,16.9927,19.252
0.0808810125,16.9927,19.2519
0.0808812225,16.9927,19.2517
0.0808813925,16.9927,19.2516
0.0808834425,16.9928,19.2497
0.0808835125,16.9928,19.2496
0.0808837225,16.9928,19.2494
0.0808838925,16.9928,19.2493
0.0808879725,16.9928,19.2456
0.0809166445,16.9927,19.2197
0.0809749575,16.9925,19.1671
0.0809749925,16.9925,19.1671
0.0809752555,16.9925,19.1668
0.0809757035,16.9925,19.1664
0.0809774575,16.9926,19.1649
0.0809774925,16.9926,19.1648
0.0809777555,16.9926,19.1646
0.0809782035,16.9926,19.1642
0.080981155,16.9927,19.1615
0.08098122,16.9927,19.1614
0.080981471,16.9927,19.1612
0.080981695,16.9927,19.161
0.080983655,16.9928,19.1592
0.08098372,16.9928,19.1591
0.080983971,16.9928,19.1589
0.080984195,16.9928,19.1587
0.081049475,16.9926,19.1001
0.08107483,16.9925,19.0773
0.08107507,16.9925,19.0771
0.08107514,16.9925,19.0771
0.081076278,16.9925,19.076
0.08107733,16.9925,19.0751
0.08107757,16.9925,19.0749
0.08107764,16.9925,19.0748
0.081078778,16.9926,19.0738
0.0810810675,16.9927,19.0717
0.0810813025,16.9927,19.0715
0.0810813475,16.9927,19.0714
0.0810820135,16.9927,19.0708
0.0810835675,16.9928,19.0694
0.0810838025,16.9928,19.0692
0.0810838475,16.9928,19.0692
0.0810845135,16.9928,19.0686
0.0810880975,16.9928,19.0654
0.0811749125,16.9925,18.9878
0.0811750825,16.9925,18.9877
0.0811752825,16.9925,18.9875
0.0811753805,16.9925,18.9874
0.0811774125,16.9925,18.9856
0.0811775825,16.9925,18.9854
0.0811777825,16.9925,18.9853
0.0811778805,16.9925,18.9852
0.08118114,16.9926,18.9822
0.08118128,16.9927,18.9821
0.08118145,16.9927,18.9819
0.081181596,16.9927,18.9818
0.08118364,16.9927,18.9799
0.08118378,16.9928,18.9798
0.08118395,16.9928,18.9797
0.081184096,16.9928,18.9795
0.081192256,16.9927,18.9723
0.0812496,16.9926,18.9213
0.08127515,16.9925,18.8986
0.081275195,16.9925,18.8985
0.081275507,16.9925,18.8983
0.081276403,16.9925,18.8975
0.08127765,16.9925,18.8964
0.081277695,16.9925,18.8963
0.081278007,16.9925,18.896
0.081278903,16.9925,18.8952
0.0812813925,16.9926,18.893
0.0812814275,16.9926,18.893
0.0812816905,16.9927,18.8927
0.0812821385,16.9927,18.8923
0.0812838925,16.9927,18.8907
0.0812839275,16.9927,18.8907
0.0812841905,16.9928,18.8905
0.0812846385,16.9928,18.8901
0.081375,16.9925,18.8101
0.0813750375,16.9925,18.8101
0.0813752675,16.9925,18.8099
0.0813754075,16.9925,18.8098
0.0813774895,16.9925,18.8079
0.0813775375,16.9925,18.8079
0.0813777675,16.9925,18.8077
0.0813779075,16.9925,18.8076
0.0813799895,16.9926,18.8057
0.081381265,16.9926,18.8045
0.081381505,16.9926,18.8043
0.081381575,16.9926,18.8043
0.081382713,16.9927,18.8032
0.081383765,16.9927,18.8023
0.081384005,16.9927,18.8021
0.081384075,16.9927,18.802
0.081385213,16.9927,18.801
0.081392381,16.9927,18.7947
0.08147514,16.9925,18.7218
0.081475275,16.9925,18.7217
0.08147552,16.9925,18.7215
0.081475632,16.9925,18.7214
0.08147764,16.9925,18.7196
0.081477775,16.9925,18.7195
0.08147802,16.9925,18.7193
0.081478132,16.9925,18.7192
0.0814813475,16.9926,18.7163
0.0814815175,16.9926,18.7162
0.0814817175,16.9926,18.716
0.0814818155,16.9926,18.7159
0.0814838475,16.9927,18.7141
0.0814840175,16.9927,18.714
0.0814842175,16.9927,18.7138
0.0814843155,16.9927,18.7137
0.0815006355,16.9927,18.6994
0.081575125,16.9924,18.6341
0.0815753475,16.9924,18.6339
0.0815753925,16.9924,18.6339
0.0815758225,16.9924,18.6335
0.0815776145,16.9924,18.6319
0.0815778475,16.9925,18.6317
0.0815778925,16.9925,18.6317
0.0815783225,16.9925,18.6313
0.0815801145,16.9925,18.6297
0.081581585,16.9926,18.6284
0.08158163,16.9926,18.6284
0.081581942,16.9926,18.6281
0.081582838,16.9926,18.6273
0.081584085,16.9927,18.6262
0.08158413,16.9927,18.6262
0.081584442,16.9927,18.6259
0.081585338,16.9927,18.6251
0.081675195,16.9924,18.5468
0.081675265,16.9924,18.5467
0.081675475,16.9924,18.5465
0.081675645,16.9924,18.5464
0.081677695,16.9924,18.5446
0.081677765,16.9924,18.5445
0.081677975,16.9924,18.5443
0.081678145,16.9924,18.5442
0.0816814375,16.9926,18.5413
0.0816814725,16.9926,18.5412
0.0816817025,16.9926,18.541
0.0816818425,16.9926,18.5409
0.0816839245,16.9927,18.5391
0.0816839725,16.9927,18.539
0.0816842025,16.9927,18.5388
0.0816843425,16.9927,18.5387
0.0816864245,16.9927,18.5369
0.0817007605,16.9926,18.5244
0.0817754075,16.9924,18.4597
0.0817754725,16.9924,18.4596
0.0817757235,16.9924,18.4594
0.0817759475,16.9924,18.4592
0.0817779075,16.9924,18.4575
0.0817779725,16.9924,18.4575
0.0817782235,16.9924,18.4572
0.0817784475,16.9924,18.457
0.081781575,16.9925,18.4543
0.08178171,16.9926,18.4542
0.081781955,16.9926,18.454
0.081782067,16.9926,18.4539
0.081784075,16.9926,18.4521
0.08178421,16.9927,18.452
0.081784455,16.9927,18.4518
0.081784567,16.9927,18.4517
0.081817207,16.9925,18.4235
0.08187532,16.9924,18.3733
0.081875555,16.9924,18.3731
0.0818756,16.9924,18.3731
0.081876266,16.9924,18.3725
0.08187782,16.9924,18.3711
0.081878055,16.9924,18.3709
0.0818781,16.9924,18.3709
0.081878766,16.9924,18.3703
0.0818815625,16.9925,18.3679
0.0818817825,16.9925,18.3677
0.0818818275,16.9925,18.3676
0.0818822575,16.9925,18.3673
0.0818840495,16.9926,18.3657
0.0818842825,16.9926,18.3655
0.0818843275,16.9926,18.3654
0.0818847575,16.9926,18.3651
0.0818865495,16.9926,18.3635
0.0819753925,16.9924,18.2872
0.0819755325,16.9924,18.2871
0.0819757025,16.9924,18.2869
0.0819758485,16.9924,18.2868
0.0819778925,16.9924,18.285
0.0819780325,16.9924,18.2849
0.0819782025,16.9924,18.2848
0.0819783485,16.9924,18.2847
0.08198163,16.9925,18.2818
0.0819817,16.9925,18.2817
0.08198191,16.9925,18.2815
0.08198208,16.9925,18.2814
0.08198413,16.9926,18.2796
0.0819842,16.9926,18.2795
0.08198441,16.9926,18.2794
0.08198458,16.9926,18.2792
0.08198866,16.9926,18.2757
0.082017332,16.9925,18.2512
0.082075645,16.9924,18.2013
0.08207568,16.9924,18.2013
0.082075943,16.9923,18.2011
0.082076391,16.9924,18.2007
0.082078145,16.9924,18.1992
0.08207818,16.9924,18.1992
0.082078443,16.9924,18.1989
0.082078891,16.9924,18.1986
0.0820818425,16.9925,18.196
0.0820819075,16.9925,18.1959
0.0820821585,16.9925,18.1957
0.0820823825,16.9925,18.1955
0.0820843425,16.9926,18.1938
0.0820844075,16.9926,18.1938
0.0820846585,16.9926,18.1936
0.0820848825,16.9926,18.1934
0.0821501625,16.9924,18.1378
0.0821755175,16.9923,18.1162
0.0821757575,16.9923,18.116
0.0821758275,16.9923,18.116
0.0821769655,16.9923,18.115
0.0821780175,16.9923,18.1141
0.0821782575,16.9923,18.1139
0.0821783275,16.9923,18.1138
0.0821794655,16.9924,18.1129
0.082181755,16.9925,18.1109
0.08218199,16.9925,18.1107
0.082182035,16.9925,18.1106
0.082182701,16.9925,18.1101
0.082184255,16.9926,18.1087
0.08218449,16.9926,18.1085
0.082184535,16.9926,18.1085
0.082185201,16.9926,18.1079
0.082188785,16.9926,18.1049
0.0822756,16.9923,18.0314
0.08227577,16.9923,18.0312
0.08227597,16.9923,18.031
0.082276068,16.9923,18.031
0.0822781,16.9923,18.0292
0.08227827,16.9923,18.0291
0.08227847,16.9923,18.0289
0.082278568,16.9923,18.0288
0.0822818275,16.9925,18.026
0.0822819675,16.9925,18.0259
0.0822821375,16.9925,18.0258
0.0822822835,16.9925,18.0257
0.0822843275,16.9925,18.0239
0.0822844675,16.9926,18.0238
0.0822846375,16.9926,18.0236
0.0822847835,16.9926,18.0235
0.0822929435,16.9925,18.0166
0.0823502875,16.9924,17.9683
0.0823758375,16.9923,17.9468
0.0823758825,16.9923,17.9467
0.0823761945,16.9923,17.9465
0.0823770905,16.9923,17.9457
0.0823783375,16.9923,17.9447
0.0823783825,16.9923,17.9446
0.0823786945,16.9923,17.9443
0.0823795905,16.9924,17.9436
0.08238208,16.9925,17.9415
0.082382115,16.9925,17.9414
0.082382378,16.9925,17.9412
0.082382826,16.9925,17.9408
0.08238458,16.9926,17.9393
0.082384615,16.9926,17.9393
0.082384878,16.9926,17.9391
0.082385326,16.9926,17.9387
0.0824756875,16.9923,17.8629
0.082475725,16.9923,17.8629
0.082475955,16.9923,17.8627
0.082476095,16.9923,17.8626
0.082478177,16.9923,17.8608
0.082478225,16.9923,17.8608
0.082478455,16.9923,17.8606
0.082478595,16.9923,17.8605
0.082480677,16.9924,17.8587
0.0824819525,16.9924,17.8576
0.0824821925,16.9924,17.8574
0.0824822625,16.9924,17.8573
0.0824834005,16.9925,17.8564
0.0824844525,16.9925,17.8555
0.0824846925,16.9925,17.8553
0.0824847625,16.9925,17.8552
0.0824859005,16.9925,17.8543
0.0824930685,16.9925,17.8483
0.0825758275,16.9923,17.7792
0.0825759625,16.9923,17.7791
0.0825762075,16.9923,17.7789
0.0825763195,16.9923,17.7788
0.0825783275,16.9923,17.7771
0.0825784625,16.9923,17.777
0.0825787075,16.9923,17.7768
0.0825788195,16.9923,17.7767
0.082582035,16.9924,17.774
0.082582205,16.9924,17.7738
0.082582405,16.9924,17.7737
0.082582503,16.9924,17.7736
0.082584535,16.9925,17.7719
0.082584705,16.9925,17.7717
0.082584905,16.9925,17.7715
0.082585003,16.9925,17.7715
0.082601323,16.9925,17.7579
0.0826758125,16.9923,17.696
0.082676035,16.9923,17.6959
0.08267608,16.9923,17.6958
0.08267651,16.9922,17.6955
0.082678302,16.9923,17.694
0.082678535,16.9923,17.6938
0.08267858,16.9923,17.6937
0.08267901,16.9923,17.6934
0.082680802,16.9923,17.6919
0.0826822725,16.9924,17.6906
0.0826823175,16.9924,17.6906
0.0826826295,16.9924,17.6903
0.0826835255,16.9925,17.6896
0.0826847725,16.9925,17.6885
0.0826848175,16.9925,17.6885
0.0826851295,16.9925,17.6882
0.0826860255,16.9925,17.6875
0.0827758825,16.9922,17.6132
0.0827759525,16.9922,17.6132
0.0827761625,16.9922,17.613
0.0827763325,16.9922,17.6128
0.0827783825,16.9922,17.6111
0.0827784525,16.9922,17.6111
0.0827786625,16.9922,17.6109
0.0827788325,16.9922,17.6108
0.082782125,16.9924,17.608
0.08278216,16.9924,17.608
0.08278239,16.9924,17.6078
0.08278253,16.9924,17.6077
0.082784612,16.9925,17.6059
0.08278466,16.9925,17.6059
0.08278489,16.9925,17.6057
0.08278503,16.9925,17.6056
0.082787112,16.9925,17.6039
0.082801448,16.9924,17.592
0.082876095,16.9922,17.5307
0.08287616,16.9922,17.5306
0.082876411,16.9922,17.5304
0.082876635,16.9922,17.5302
0.082878595,16.9922,17.5286
0.08287866,16.9922,17.5286
0.082878911,16.9922,17.5283
0.082879135,16.9922,17.5282
0.0828822625,16.9924,17.5255
0.0828823975,16.9924,17.5254
0.0828826425,16.9924,17.5252
0.0828827545,16.9924,17.5251
0.0828847625,16.9925,17.5235
0.0828848975,16.9925,17.5233
0.0828851425,16.9925,17.5231
0.0828852545,16.9925,17.523
0.0829178945,16.9924,17.4963
0.0829760075,16.9922,17.4487
0.0829762425,16.9922,17.4486
0.0829762875,16.9922,17.4485
0.0829769535,16.9922,17.448
0.0829785075,16.9922,17.4467
0.0829787425,16.9922,17.4465
0.0829787875,16.9922,17.4465
0.0829794535,16.9922,17.4459
0.08298225,16.9924,17.4436
0.08298247,16.9924,17.4434
0.082982515,16.9924,17.4434
0.082982945,16.9924,17.443
0.082984737,16.9925,17.4415
0.08298497,16.9925,17.4413
0.082985015,16.9925,17.4413
0.082985445,16.9925,17.4409
0.082987237,16.9925,17.4395
0.08307608,16.9922,17.3671
0.08307622,16.9922,17.367
0.08307639,16.9922,17.3669
0.083076536,16.9922,17.3667
0.08307858,16.9922,17.3651
0.08307872,16.9922,17.365
0.08307889,16.9922,17.3648
0.083079036,16.9922,17.3647
0.0830823175,16.9923,17.362
0.0830823875,16.9923,17.3619
0.0830825975,16.9924,17.3618
0.0830827675,16.9924,17.3616
0.0830848175,16.9924,17.3599
0.0830848875,16.9924,17.3599
0.0830850975,16.9925,17.3597
0.0830852675,16.9925,17.3595
0.0830893475,16.9924,17.3562
0.0831180195,16.9924,17.333
0.0831763325,16.9922,17.2857
0.0831763675,16.9922,17.2857
0.0831766305,16.9922,17.2855
0.0831770785,16.9922,17.2851
0.0831788325,16.9922,17.2837
0.0831788675,16.9922,17.2837
0.0831791305,16.9922,17.2835
0.0831795785,16.9922,17.2831
0.08318253,16.9923,17.2807
0.083182595,16.9923,17.2806
0.083182846,16.9923,17.2804
0.08318307,16.9923,17.2802
0.08318503,16.9924,17.2786
0.083185095,16.9924,17.2785
0.083185346,16.9924,17.2783
0.08318557,16.9924,17.2781
0.08325085,16.9922,17.2255
0.083276205,16.9921,17.205
0.083276445,16.9921,17.2048
0.083276515,16.9921,17.2048
0.083277653,16.9921,17.2039
0.083278705,16.9921,17.203
0.083278945,16.9921,17.2028
0.083279015,16.9921,17.2028
0.083280153,16.9922,17.2018
0.0832824425,16.9923,17.2
0.0832826775,16.9923,17.1998
0.0832827225,16.9923,17.1997
0.0832833885,16.9923,17.1992
0.0832849425,16.9924,17.1979
0.0832851775,16.9924,17.1977
0.0832852225,16.9924,17.1977
0.0832858885,16.9924,17.1971
0.0832894725,16.9924,17.1943
0.0833762875,16.9921,17.1246
0.0833764575,16.9921,17.1244
0.0833766575,16.9921,17.1243
0.0833767555,16.9921,17.1242
0.0833787875,16.9921,17.1226
0.0833789575,16.9921,17.1224
0.0833791575,16.9922,17.1223
0.0833792555,16.9922,17.1222
0.083382515,16.9923,17.1195
0.083382655,16.9923,17.1194
0.083382825,16.9923,17.1193
0.083382971,16.9923,17.1191
0.083385015,16.9924,17.1175
0.083385155,16.9924,17.1174
0.083385325,16.9924,17.1172
0.083385471,16.9924,17.1171
0.083393631,16.9924,17.1106
0.083450975,16.9922,17.0647
0.083476525,16.9921,17.0444
0.08347657,16.9921,17.0443
0.083476882,16.9921,17.0441
0.083477778,16.9921,17.0434
0.083479025,16.9921,17.0424
0.08347907,16.9921,17.0423
0.083479382,16.9921,17.0421
0.083480278,16.9922,17.0413
0.0834827675,16.9923,17.0393
0.0834828025,16.9923,17.0393
0.0834830655,16.9923,17.0391
0.0834835135,16.9923,17.0387
0.0834852675,16.9924,17.0373
0.0834853025,16.9924,17.0373
0.0834855655,16.9924,17.0371
0.0834860135,16.9924,17.0367
0.083576375,16.9921,16.9649
0.0835764125,16.9921,16.9648
0.0835766425,16.9921,16.9647
0.0835767825,16.9921,16.9645
0.0835788645,16.9921,16.9629
0.0835789125,16.9921,16.9628
0.0835791425,16.9921,16.9627
0.0835792825,16.9921,16.9626
0.0835813645,16.9922,16.9609
0.08358264,16.9922,16.9598
0.08358288,16.9922,16.9596
0.08358295,16.9922,16.9596
0.083584088,16.9923,16.9587
0.08358514,16.9923,16.9578
0.08358538,16.9923,16.9576
0.08358545,16.9923,16.9576
0.083586588,16.9923,16.9567
0.083593756,16.9923,16.951
0.083676515,16.9921,16.8855
0.08367665,16.9921,16.8854
0.083676895,16.9921,16.8852
0.083677007,16.9921,16.8851
0.083679015,16.9921,16.8835
0.08367915,16.9921,16.8834
0.083679395,16.9921,16.8832
0.083679507,16.9921,16.8831
0.0836827225,16.9922,16.8806
0.0836828925,16.9922,16.8804
0.0836830925,16.9922,16.8803
0.0836831905,16.9922,16.8802
0.0836852225,16.9923,16.8785
0.0836853925,16.9923,16.8784
0.0836855925,16.9923,16.8782
0.0836856905,16.9923,16.8782
0.0837020105,16.9923,16.8653
0.0837765,16.992,16.8067
0.0837767225,16.992,16.8065
0.0837767675,16.992,16.8065
0.0837771975,16.992,16.8061
